Name;h;b;t;A;cty;ctz;Iy;Iz;iy;iz;Wy.el;Wz.el;Wy.pl;Wz.pl;It;WT;As
RHS 300x100x8;0.3;0.1;0.008;0.00608;34.5;9.500E+00;6.300E-05;1.080E-05;1.020E-01;4.210E-02;4.200E-04;2.160E-04;5.460E-04;2.450E-04;3.070E-05;3.870E-04;7.790E-01
RHS 300x100x10;0.3;0.1;0.01;0.00749;27;7.000E+00;7.610E-05;1.280E-05;1.010E-01;4.130E-02;5.080E-04;2.550E-04;6.660E-04;2.960E-04;3.680E-05;4.580E-04;7.740E-01
RHS 300x100x12.5;0.3;0.1;0.0125;0.00921;21;5.000E+00;9.100E-05;1.490E-05;9.940E-02;4.020E-02;6.070E-04;2.970E-04;8.060E-04;3.540E-04;4.350E-05;5.340E-04;7.680E-01
RHS 300x100x14.2;0.3;0.1;0.0142;0.0103;18.1;4.040E+00;1.000E-04;1.610E-05;9.850E-02;3.940E-02;6.690E-04;3.210E-04;8.960E-04;3.900E-04;4.760E-05;5.780E-04;7.630E-01
RHS 300x100x16;0.3;0.1;0.016;0.0115;15.8;3.250E+00;1.090E-04;1.720E-05;9.750E-02;3.870E-02;7.290E-04;3.440E-04;9.860E-04;4.250E-04;5.140E-05;6.190E-04;7.590E-01
RHS 300x100x17.5;0.3;0.1;0.0175;0.0124;14.1;2.710E+00;1.160E-04;1.800E-05;9.660E-02;3.800E-02;7.750E-04;3.600E-04;1.060E-03;4.520E-04;5.420E-05;6.480E-04;7.550E-01
RHS 300x200x5;0.3;0.2;0.005;0.00487;57;3.700E+01;6.320E-05;3.400E-05;1.140E-01;8.350E-02;4.210E-04;3.400E-04;5.010E-04;3.800E-04;6.820E-05;5.520E-04;9.870E-01
RHS 300x200x6.3;0.3;0.2;0.0063;0.0061;44.6;2.870E+01;7.830E-05;4.190E-05;1.130E-01;8.290E-02;5.220E-04;4.190E-04;6.240E-04;4.720E-04;8.480E-05;6.810E-04;9.840E-01
RHS 300x200x8;0.3;0.2;0.008;0.00768;34.5;2.200E+01;9.720E-05;5.180E-05;1.130E-01;8.220E-02;6.480E-04;5.180E-04;7.790E-04;5.890E-04;1.060E-04;8.400E-04;9.790E-01
RHS 300x200x10;0.3;0.2;0.01;0.00949;27;1.700E+01;1.180E-04;6.280E-05;1.120E-01;8.130E-02;7.880E-04;6.280E-04;9.560E-04;7.210E-04;1.290E-04;1.020E-03;9.740E-01
RHS 300x200x12.5;0.3;0.2;0.0125;0.0117;21;1.300E+01;1.430E-04;7.540E-05;1.100E-01;8.020E-02;9.520E-04;7.540E-04;1.160E-03;8.770E-04;1.570E-04;1.220E-03;9.680E-01
RHS 300x200x14.2;0.3;0.2;0.0142;0.0132;18.1;1.110E+01;1.580E-04;8.330E-05;1.100E-01;7.950E-02;1.060E-03;8.330E-04;1.300E-03;9.780E-04;1.750E-04;1.340E-03;9.630E-01
RHS 300x200x16;0.3;0.2;0.016;0.0147;15.8;9.500E+00;1.740E-04;9.110E-05;1.090E-01;7.870E-02;1.160E-03;9.110E-04;1.440E-03;1.080E-03;1.930E-04;1.470E-03;9.590E-01
RHS 300x200x17.5;0.3;0.2;0.0175;0.0159;14.1;8.430E+00;1.860E-04;9.720E-05;1.080E-01;7.810E-02;1.240E-03;9.720E-04;1.550E-03;1.160E-03;2.070E-04;1.560E-03;9.550E-01
RHS 350x150x5;0.35;0.15;0.005;0.00487;67;2.700E+01;7.660E-05;2.050E-05;1.250E-01;6.490E-02;4.370E-04;2.740E-04;5.430E-04;3.010E-04;5.160E-05;4.770E-04;9.870E-01
RHS 350x150x6.3;0.35;0.15;0.0063;0.0061;52.6;2.080E+01;9.480E-05;2.520E-05;1.250E-01;6.430E-02;5.420E-04;3.370E-04;6.760E-04;3.730E-04;6.390E-05;5.860E-04;9.840E-01
RHS 350x150x8;0.35;0.15;0.008;0.00768;40.8;1.580E+01;1.180E-04;3.100E-05;1.240E-01;6.360E-02;6.730E-04;4.140E-04;8.440E-04;4.640E-04;7.930E-05;7.210E-04;9.790E-01
RHS 350x150x10;0.35;0.15;0.01;0.00949;32;1.200E+01;1.430E-04;3.740E-05;1.230E-01;6.270E-02;8.180E-04;4.980E-04;1.040E-03;5.660E-04;9.630E-05;8.670E-04;9.740E-01
RHS 350x150x12.5;0.35;0.15;0.0125;0.0117;25;9.000E+00;1.730E-04;4.450E-05;1.220E-01;6.170E-02;9.880E-04;5.930E-04;1.260E-03;6.860E-04;1.160E-04;1.030E-03;9.680E-01
RHS 350x150x14.2;0.35;0.15;0.0142;0.0132;21.6;7.560E+00;1.920E-04;4.890E-05;1.210E-01;6.090E-02;1.100E-03;6.520E-04;1.410E-03;7.630E-04;1.290E-04;1.130E-03;9.630E-01
RHS 350x150x16;0.35;0.15;0.016;0.0147;18.9;6.380E+00;2.110E-04;5.320E-05;1.200E-01;6.010E-02;1.200E-03;7.090E-04;1.560E-03;8.400E-04;1.410E-04;1.230E-03;9.590E-01
RHS 350x150x17.5;0.35;0.15;0.0175;0.0159;17;5.570E+00;2.260E-04;5.640E-05;1.190E-01;5.950E-02;1.290E-03;7.520E-04;1.680E-03;9.000E-04;1.510E-04;1.310E-03;9.550E-01
RHS 350x250x6.3;0.35;0.25;0.0063;0.00736;52.6;3.670E+01;1.320E-04;7.880E-05;1.340E-01;1.040E-01;7.540E-04;6.310E-04;8.920E-04;7.090E-04;1.520E-04;1.010E-03;1.180E+00
RHS 350x250x8;0.35;0.25;0.008;0.00928;40.8;2.830E+01;1.640E-04;9.800E-05;1.330E-01;1.030E-01;9.400E-04;7.840E-04;1.120E-03;8.880E-04;1.900E-04;1.250E-03;1.180E+00
RHS 350x250x10;0.35;0.25;0.01;0.0115;32;2.200E+01;2.010E-04;1.190E-04;1.320E-01;1.020E-01;1.150E-03;9.550E-04;1.380E-03;1.090E-03;2.340E-04;1.520E-03;1.170E+00
RHS 350x250x12.5;0.35;0.25;0.0125;0.0142;25;1.700E+01;2.440E-04;1.440E-04;1.310E-01;1.010E-01;1.400E-03;1.160E-03;1.680E-03;1.330E-03;2.850E-04;1.840E-03;1.170E+00
RHS 350x250x14.2;0.35;0.25;0.0142;0.016;21.6;1.460E+01;2.720E-04;1.600E-04;1.300E-01;1.000E-01;1.550E-03;1.280E-03;1.890E-03;1.490E-03;3.190E-04;2.040E-03;1.160E+00
RHS 350x250x16;0.35;0.25;0.016;0.0179;18.9;1.260E+01;3.000E-04;1.770E-04;1.290E-01;9.930E-02;1.720E-03;1.410E-03;2.100E-03;1.660E-03;3.530E-04;2.250E-03;1.160E+00
RHS 350x250x17.5;0.35;0.25;0.0175;0.0194;17;1.130E+01;3.220E-04;1.890E-04;1.290E-01;9.870E-02;1.840E-03;1.510E-03;2.260E-03;1.780E-03;3.810E-04;2.410E-03;1.150E+00
RHS 400x200x6.3;0.4;0.2;0.0063;0.00736;60.5;2.870E+01;1.570E-04;5.380E-05;1.460E-01;8.550E-02;7.850E-04;5.380E-04;9.600E-04;5.940E-04;1.260E-04;9.170E-04;1.180E+00
RHS 400x200x8;0.4;0.2;0.008;0.00928;47;2.200E+01;1.960E-04;6.660E-05;1.450E-01;8.470E-02;9.780E-04;6.660E-04;1.200E-03;7.430E-04;1.570E-04;1.140E-03;1.180E+00
RHS 400x200x10;0.4;0.2;0.01;0.0115;37;1.700E+01;2.390E-04;8.080E-05;1.440E-01;8.390E-02;1.200E-03;8.080E-04;1.480E-03;9.110E-04;1.930E-04;1.380E-03;1.170E+00
